city,companyName,eduLevel,jobName,recruieCount,salary,workingExp
北京,北京金信润天信息技术股份有限公司,本科,python运维开发工程师,招10人,8千-1.5万,5-10年
北京,网云易通(北京)科技有限公司,本科,高级测试工程师,招2人,1万-1.8万,5-10年
北京,网云易通(北京)科技有限公司,本科,web开发工程师,招1人,8千-1.6万,1-3年
北京,北京云和互动信息技术有限公司,硕士,数据分析师,招1人,1.2万-1.8万,1-3年
北京,北京典金球科技有限公司,本科,数据分析专员,招1人,8千-1万,1-3年
北京,启迪国信科技有限公司,本科,存储开发工程师(000940),招1人,2万-3万,5-10年
北京,天弘基金管理有限公司,本科,高级数据仓库工程师,招1人,2万-3万,5-10年
北京,北京中宇万通科技股份有限公司,本科,中高级Linux C/C++研发工程师,招3人,1万-1.5万,1-3年
北京,北京深度视觉科技有限公司,本科,图像算法工程师,招1人,3万-5万,3-5年
北京,易智付科技(北京)有限公司,本科,前端开发工程师,招1人,1.8万-2.5万,5-10年
北京,浪潮集团有限公司,本科,公有云大数据平台高级研发工程师,招3人,2.2万-4.4万,3-5年
北京,麦飞科技,本科,农情调研经理【10023】,招1人,1万-2万,3-5年
北京,智慧互通科技有限公司,本科,高级web前端工程师,招2人,1.5万-2.5万,3-5年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,BI Developer-编程能力强,招1人,面议,1-3年
北京,凤凰云祥(北京)信息科技有限公司,本科,产品研发程序员,招1人,8千-1.5万,3-5年
北京,畅捷通信息技术股份有限公司,本科,配置管理,招1人,1.5万-2.5万,3-5年
北京,北京八维研修学院,本科,Linux高级讲师,招1人,1.5万-2万,3-5年
北京,三一智矿科技有限公司,本科,仿真系统工程师 ,招2人,2万-3万,3-5年
北京,北京库克优选信息技术有限公司,大专,sql数据库管理员,招2人,8千-1.2万,1-3年
北京,三一智矿科技有限公司,本科,通讯工程师 （数字化平台边缘计算）,招1人,2万-3万,5-10年
北京,南京高泰科技有限公司,本科, 中间件研发工程师（资深）,招3人,1.5万-2万,3-5年
北京,联通支付有限公司,本科,系统运维工程师,招1人,面议,3-5年
北京,北京信联科汇科技有限公司,本科,Java开发工程师,招5人,1万-2万,1-3年
北京,北醒(北京)光子科技有限公司,本科,高级传感器算法工程师,招1人,1.5万-2万,经验不限
北京,北京奥德塔数据科技有限公司,本科,图像识别算法工程师,招1人,8千-1万,1-3年
北京,新希望金融服务有限公司,本科,DW高级工程师（新希望金服）,招3人,1.5万-2.5万,3-5年
北京,埃森哲(中国)有限公司,大专,[ATCC]Scrum Master敏捷教练,招1人,面议,10年以上
北京,三一智矿科技有限公司,本科,运维工程师,招2人,2万-3万,3-5年
北京,北京新联财通咨询有限公司,本科,大数据抓取工程师,招2人,1.5万-2万,1-3年
北京,埃森哲(中国)有限公司,大专,[ATCC]Cloud Lead,招1人,面议,10年以上
北京,北京联世传奇网络技术有限公司,硕士,数据算法工程师,招2人,1万-1.5万,经验不限
