area,city,companyName,eduLevel,jobName,recruieCount,salary,welfare,workingExp
未知,太原,太原炼石云智科技有限公司,本科,少儿编程老师,招10人,8千-1万,"创业公司,全勤奖,弹性工作,绩效奖金,年终分红,带薪年假,餐补,股票期权",经验不限
未知,太原,山西宗轩装饰设计工程有限公司,学历不限,PHP工程师,招5人,5千-8千,"节日福利,周末双休,全勤奖,通讯补助,加班补助,绩效奖金",1-3年
未知,太原,山西明佳电子技术有限公司,大专,软件工程师,招3人,3千-6千,"五险一金,年底双薪,绩效奖金,节日福利,带薪年假",经验不限
万柏林区,太原,太原市麒达环保工程技术有限公司,本科,软件高级工程师,招2人,6千-1.2万,"五险一金,交通补助,通讯补助,节日福利",1-3年
未知,太原,山西致远慧图科技有限公司,硕士,深度学习算法工程师,招2人,1万-1.5万,"弹性工作,节日福利,大牛带队,周末双休,定期团建,每年多次调薪,带薪年假",1-3年
未知,太原,山西明佳电子技术有限公司,大专,系统工程师linux,招3人,3千-6千,"五险一金,年底双薪,绩效奖金,带薪年假,节日福利",经验不限
未知,太原,山西致远慧图科技有限公司,硕士,深度学习算法工程师,招2人,1万-1.5万,"弹性工作,大牛带队,定期团建,每年多次调薪,五险一金",1-3年
未知,太原,晋城银行股份有限公司,硕士,信贷风险策略岗,招1人,面议,"周末双休,五险一金,绩效奖金,带薪年假,节日福利",1-3年
未知,太原,山西见声科技有限公司,本科,语音识别机器学习算法工程师,招2人,1万-1.5万,"创业公司,周末双休,餐补,股票期权,节日福利,入职五险,带薪年假,五险一金",1-3年
未知,太原,山西点发生物科技有限公司,本科,软件工程师,招2人,3万-6万,"五险一金,绩效奖金,年终分红",1-3年
未知,太原,山西毓升前沿电子科技有限公司,本科,大数据工程师,招1人,2万-4万,"五险一金,绩效奖金,股票期权",3-5年
未知,太原,山西云时代技术有限公司,本科,软件测试工程师,招5人,4千-6千,"五险一金,带薪年假,采暖补贴,通讯补助,包吃,交通补助,定期体检,绩效奖金",3-5年
未知,太原,中标软件有限公司,大专,Linux研发工程师（太原）,招20人,8千-1.6万,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,补充医疗保险,定期体检",经验不限
未知,太原,山西寰烁公共教育科技有限公司,学历不限,运维工程师,招3人,4千-7千,"五险一金,餐补,节日福利",经验不限
小店区,太原,南昌德邦教育咨询有限公司,学历不限,Seo技术专员Seo优化,招10人,8千-1.6万,"五险一金,年底双薪,包吃",经验不限
未知,太原,北京筑龙信息技术有限责任公司,本科,数据挖掘工程师--太原,招1人,4千-8千,"五险一金,年底双薪,绩效奖金,年终分红,带薪年假,定期体检,员工旅游,节日福利",1-3年
小店区,太原,精英数智科技股份有限公司,博士,人工智能首席科学家,招1人,3万-5万,"节日福利,五险一金,绩效奖金,带薪年假,定期体检,员工旅游",5-10年
未知,太原,山西派唯网络科技有限公司,学历不限,PHP后台开发工程师+双休,招1人,2千-4千,"创业公司,节日福利,不加班,加班补助,带薪年假,弹性工作",1-3年
未知,太原,山西金源天胜工贸有限公司,学历不限,PHP软件工程师,招5人,4千-6千,"周末双休,加班补助,绩效奖金,通讯补助,全勤奖,带薪年假",1-3年
未知,太原,山西明佳电子技术有限公司,本科,高级运维工程师,招1人,1万-1.5万,"五险一金,绩效奖金,带薪年假,节日福利,年底双薪,周末双休",5-10年
